genus,species,family,WD (g/cm3),level,source
Acidoton,nicaraguensis,Euphorbiaceae,0.592,stand-level average,
Acrocomia,aculeata,Arecaceae,0.592,stand-level average,
Adelia,triloba,Euphorbiaceae,0.574,species,local data base
Adenaria,floribunda,Lythraceae,0.592,stand-level average,
Aegiphila,anomala,Lamiaceae,0.657,genus,genus average
Aegiphila,panamensis,Lamiaceae,0.657,genus,genus average
Agonandra,brasiliensis,Opiliaceae,0.818,species, global data base
Agouticarpa,curviflora,Rubiaceae,0.592,stand-level average,
Agouticarpa,williamsii,Rubiaceae,0.592,stand-level average,
Aiouea,vexatrix,Lauraceae,0.37,genus,genus average
Aiphanes,hirsuta,Arecaceae,0.592,stand-level average,
Albizia,adinocephala,Fabaceae,0.556,genus,genus average
Albizia,niopoides,Fabaceae,0.555,species, global data base
Albizia,procera,Fabaceae,0.573,species,local data base
Alchornea,costaricensis,Euphorbiaceae,0.301,species,local data base
Alchornea,grandis,Euphorbiaceae,0.34,species, global data base
Alchornea,latifolia,Euphorbiaceae,0.425,species,local data base
Alibertia,edulis,Rubiaceae,0.76,species,local data base
Alibertia,dwyeri,Rubiaceae,0.733,genus,genus average
Allenanthus,erythrocarpus,Rubiaceae,0.592,stand-level average,
Allophylus,gentryi,Sapindaceae,0.518,genus,genus average
Allophylus,psilospermus,Sapindaceae,0.518,genus,genus average
Allophylus,racemosus,Sapindaceae,0.518,genus,genus average
Alseis,blackiana,Rubiaceae,0.536,species,local data base
Amaioua,corymbosa,Rubiaceae,0.625,genus,genus average
Amaioua,magnicarpa,Rubiaceae,0.625,genus,genus average
Amaioua,pedicellata,Rubiaceae,0.625,genus,genus average
Amanoa,guianensis,Phyllanthaceae,0.843,species, global data base
Ampelocera,edentula,Ulmaceae,0.7,species,local data base
Ampelocera,macphersonii,Ulmaceae,0.726,genus,genus average
Amphitecna,latifolia,Bignoniaceae,0.46,genus,genus average
Amphitecna,spathicalyx,Bignoniaceae,0.46,genus,genus average
Amphitecna,isthmica,Bignoniaceae,0.46,genus,genus average
Anacardium,excelsum,Anacardiaceae,0.391,species,local data base
Anacardium,occidentale,Anacardiaceae,0.447,species, global data base
Anaxagorea,allenii,Annonaceae,0.53,genus,genus average
Anaxagorea,panamensis,Annonaceae,0.53,genus,genus average
Anaxagorea,crassipetala,Annonaceae,0.48,species, global data base
Andira,inermis,Fabaceae,0.643,species,local data base
Aniba,hostmanniana,Lauraceae,0.619,species,local data base
Annona,acuminata,Annonaceae,0.524,genus,genus average
Annona,cherimola,Annonaceae,0.524,genus,genus average
Annona,glabra,Annonaceae,0.5,species, global data base
Annona,hayesii,Annonaceae,0.524,genus,genus average
Annona,montana,Annonaceae,0.524,genus,genus average
Annona,muricata,Annonaceae,0.36,species, global data base
Annona,pittieri,Annonaceae,0.524,genus,genus average
Annona,purpurea,Annonaceae,0.57,species,local data base
Annona,reticulata,Annonaceae,0.55,species, global data base
Annona,spraguei,Annonaceae,0.559,species,local data base
Annona,mucosa,Annonaceae,0.524,genus,genus average
Annona,papilionella,Annonaceae,0.524,genus,genus average
Apeiba,hybrid,Malvaceae,0.255,genus,genus average
Apeiba,tibourbou,Malvaceae,0.2,species,local data base
Apeiba,membranacea,Malvaceae,0.255,genus,genus average
Aphelandra,campanensis,Acanthaceae,0.592,stand-level average,
Aphelandra,gracilis,Acanthaceae,0.592,stand-level average,
Aphelandra,scabra,Acanthaceae,0.592,stand-level average,
Aphelandra,sinclairiana,Acanthaceae,0.592,stand-level average,
Appunia,seibertii,Rubiaceae,0.592,stand-level average,
Arachnothryx,buddleioides,Rubiaceae,0.56,species, global data base
Ardisia,bartlettii,Primulaceae,0.591,genus,genus average
Ardisia,dukei,Primulaceae,0.591,genus,genus average
Ardisia,glomerata,Primulaceae,0.591,genus,genus average
Ardisia,guianensis,Primulaceae,0.62,species,local data base
Ardisia,opegrapha,Primulaceae,0.591,genus,genus average
Ardisia,revoluta,Primulaceae,0.591,genus,genus average
Ardisia,solanacea,Primulaceae,0.62,species, global data base
Ardisia,standleyana,Primulaceae,0.591,genus,genus average
Ardisia,compressa,Primulaceae,0.591,genus,genus average
Artocarpus,altilis,Moraceae,0.431,species,local data base
Aspidosperma,desmanthum,Apocynaceae,0.61,species, global data base
Aspidosperma,excelsum,Apocynaceae,0.792,species, global data base
Astrocaryum,alatum,Arecaceae,0.508,genus,genus average
Astrocaryum,standleyanum,Arecaceae,0.508,genus,genus average
Astronium,graveolens,Anacardiaceae,0.868,species,local data base
Attalea,rostrata,Arecaceae,0.326,genus,genus average
Avicennia,bicolor,Acanthaceae,0.685,genus,genus average
Avicennia,germinans,Acanthaceae,0.776,species, global data base
Bactris,barronis,Arecaceae,0.592,stand-level average,
Bactris,coloniata,Arecaceae,0.592,stand-level average,
Bactris,coloradonis,Arecaceae,0.592,stand-level average,
Bactris,gasipaes,Arecaceae,0.592,stand-level average,
Bactris,major,Arecaceae,0.592,stand-level average,
Bactris,maraja,Arecaceae,0.592,stand-level average,
Bactris,panamensis,Arecaceae,0.592,stand-level average,
Banara,guianensis,Salicaceae,0.61,species,local data base
Bauhinia,ungulata,Fabaceae,0.755,genus,genus average
Beilschmiedia,sulcata,Lauraceae,0.563,genus,genus average
Beilschmiedia,aff.tilaranensis,Lauraceae,0.563,genus,genus average
Beilschmiedia,tovarensis,Lauraceae,0.563,genus,genus average
Bellucia,pentamera,Melastomataceae,0.485,species,local data base
Bertiera,guianensis,Rubiaceae,0.592,stand-level average,
Besleria,formicaria,Gesneriaceae,0.592,stand-level average,
Besleria,robusta,Gesneriaceae,0.592,stand-level average,
Billia,rosea,Sapindaceae,0.69,genus,genus average
Bixa,orellana,Bixaceae,0.36,species, global data base
Blighia,sapida,Sapindaceae,0.762,species, global data base
Bocconia,frutescens,Papaveraceae,0.592,stand-level average,
Bonellia,macrocarpa,Primulaceae,0.592,stand-level average,
Bourreria,costaricensis,Boraginaceae,0.73,genus,genus average
Brosimum,alicastrum,Moraceae,0.6,species,local data base
Brosimum,costaricanum,Moraceae,0.665,species,local data base
Brosimum,guianense,Moraceae,0.844,species,local data base
Brosimum,lactescens,Moraceae,0.656,species,local data base
Brosimum,rubescens,Moraceae,0.825,species, global data base
Brosimum,utile,Moraceae,0.506,species,local data base
Brownea,macrophylla,Fabaceae,1.21,genus,genus average
Buchenavia,tetraphylla,Combretaceae,0.617,species, global data base
Bunchosia,dwyeri,Malpighiaceae,0.695,genus,genus average
Bunchosia,macrophylla,Malpighiaceae,0.695,genus,genus average
Bunchosia,nitida,Malpighiaceae,0.695,genus,genus average
Bunchosia,odorata,Malpighiaceae,0.695,genus,genus average
Bursera,simaruba,Burseraceae,0.305,species,local data base
Bursera,tomentosa,Burseraceae,0.311,genus,genus average
Byrsonima,crassifolia,Malpighiaceae,0.586,species,local data base
Byrsonima,crispa,Malpighiaceae,0.58,species,local data base
Byrsonima,dressleri,Malpighiaceae,0.649,genus,genus average
Byrsonima,spicata,Malpighiaceae,0.614,species,local data base
Calatola,costaricensis,Icacinaceae,0.566,species,local data base
Calliandra,laxa,Fabaceae,0.816,genus,genus average
Calliandra,aff.grandifolia,Fabaceae,0.816,genus,genus average
Callicarpa,acuminata,Lamiaceae,0.35,genus,genus average
Calophyllum,brasiliense,Calophyllaceae,0.589,species,local data base
Calophyllum,inophyllum,Calophyllaceae,0.585,species, global data base
Calophyllum,longifolium,Calophyllaceae,0.542,species,local data base
Calycolpus,warszewiczianus,Myrtaceae,0.8,genus,genus average
Calycophyllum,candidissimum,Rubiaceae,0.702,species,local data base
Calyptranthes,chytraculia,Myrtaceae,0.783,genus,genus average
Calyptranthes,pulchella,Myrtaceae,0.783,genus,genus average
Calyptranthes,tumidonodia,Myrtaceae,0.783,genus,genus average
Calyptrogyne,costatifrons,Arecaceae,0.592,stand-level average,
Campnosperma,panamense,Anacardiaceae,0.376,genus,genus average
Capparidastrum,frondosum,Capparaceae,0.592,stand-level average,
Capparidastrum,discolor,Capparaceae,0.592,stand-level average,
Capparidastrum,aff.osmanthum,Capparaceae,0.592,stand-level average,
Carapa,guianensis,Meliaceae,0.53,species,local data base
Carica,papaya,Caricaceae,0.188,genus,genus average
Caryodaphnopsis,burgeri,Lauraceae,0.592,stand-level average,
Caryodaphnopsis,tomentosa,Lauraceae,0.592,stand-level average,
Casearia,aculeata,Salicaceae,0.66,species,local data base
Casearia,arguta,Salicaceae,0.517,species,local data base
Casearia,commersoniana,Salicaceae,0.621,genus,genus average
Casearia,coronata,Salicaceae,0.621,genus,genus average
Casearia,corymbosa,Salicaceae,0.621,genus,genus average
Casearia,guianensis,Salicaceae,0.742,species,local data base
Casearia,nigricans,Salicaceae,0.621,genus,genus average
Casearia,sylvestris,Salicaceae,0.705,species,local data base
Casearia,arborea,Salicaceae,0.574,species,local data base
Cassia,grandis,Fabaceae,0.736,genus,genus average
Cassia,moschata,Fabaceae,0.805,species,local data base
Cassipourea,enana,Rhizophoraceae,0.65,genus,genus average
Cassipourea,hoja_grande,Rhizophoraceae,0.65,genus,genus average
Cassipourea,elliptica,Rhizophoraceae,0.65,genus,genus average
Castilla,elastica,Moraceae,0.524,species,local data base
Cavanillesia,platanifolia,Malvaceae,0.36,species,local data base
Cecropia,garciae,Urticaceae,0.34,genus,genus average
Cecropia,heterochroma,Urticaceae,0.34,genus,genus average
Cecropia,insignis,Urticaceae,0.318,species,local data base
Cecropia,longipes,Urticaceae,0.34,genus,genus average
Cecropia,obtusifolia,Urticaceae,0.307,species,local data base
Cecropia,peltata,Urticaceae,0.3,species,local data base
Cecropia,hispidissima,Urticaceae,0.34,genus,genus average
Cedrela,fissilis,Meliaceae,0.467,species, global data base
Cedrela,odorata,Meliaceae,0.447,species,local data base
Ceiba,pentandra,Malvaceae,0.305,species,local data base
Celtis,schippii,Cannabaceae,0.616,species,local data base
Centropogon,tortilis,Campanulaceae,0.592,stand-level average,
Cespedesia,spathulata,Ochnaceae,0.613,species,local data base
Cestrum,latifolium,Solanaceae,0.592,stand-level average,
Cestrum,racemosum,Solanaceae,0.592,stand-level average,
Cestrum,schlechtendahlii,Solanaceae,0.592,stand-level average,
Chamaedorea,pinnatifrons,Arecaceae,0.592,stand-level average,
Chamaedorea,tepejilote,Arecaceae,0.592,stand-level average,
Chamguava,schippii,Myrtaceae,0.592,stand-level average,
Cheiloclinium,cognatum,Celastraceae,0.592,stand-level average,
Chimarrhis,parviflora,Rubiaceae,0.707,genus,genus average
Chimarrhis,latifolia,Rubiaceae,0.707,genus,genus average
Chionanthus,panamensis,Oleaceae,0.68,genus,genus average
Chloroleucon,mangense,Fabaceae,0.99,species, global data base
Chomelia,spinosa,Rubiaceae,0.53,species,local data base
Chromolucuma,aff.rubriflora,Sapotaceae,0.73,genus,genus average
Chrysobalanus,icaco,Chrysobalanaceae,0.753,species, global data base
Chrysochlamys,eclipes,Clusiaceae,0.43,genus,genus average
Chrysochlamys,glauca,Clusiaceae,0.43,genus,genus average
Chrysochlamys,grandifolia,Clusiaceae,0.43,genus,genus average
Chrysophyllum,brenesii,Sapotaceae,0.665,genus,genus average
Chrysophyllum,cainito,Sapotaceae,0.655,species,local data base
Chrysophyllum,colombianum,Sapotaceae,0.665,genus,genus average
Chrysophyllum,hirsutum,Sapotaceae,0.665,genus,genus average
Chrysophyllum,venezuelanense,Sapotaceae,0.665,genus,genus average
Chrysophyllum,argenteum,Sapotaceae,0.777,species,local data base
Cinnamomum,triplinerve,Lauraceae,0.467,genus,genus average
Cinnamomum,tonduzii,Lauraceae,0.467,genus,genus average
Citharexylum,caudatum,Verbenaceae,0.667,genus,genus average
Citrus,sinensis,Rutaceae,0.78,species,local data base
Clarisia,biflora,Moraceae,0.498,species,local data base
Clarisia,racemosa,Moraceae,0.585,species,local data base
Clavija,biborrana,Primulaceae,0.592,stand-level average,
Clavija,costaricana,Primulaceae,0.592,stand-level average,
Clavija,mezii,Primulaceae,0.592,stand-level average,
Clethra,mexicana,Clethraceae,0.55,species, global data base
Clidemia,crenulata,Melastomataceae,0.592,stand-level average,
Clidemia,densiflora,Melastomataceae,0.592,stand-level average,
Clidemia,dentata,Melastomataceae,0.592,stand-level average,
Clidemia,hammelii,Melastomataceae,0.592,stand-level average,
Clidemia,octona,Melastomataceae,0.592,stand-level average,
Clidemia,septuplinervia,Melastomataceae,0.592,stand-level average,
Clidemia,discolor,Melastomataceae,0.592,stand-level average,
Clitoria,glaberrima,Fabaceae,0.592,stand-level average,
Clusia,cretosa,Clusiaceae,0.676,genus,genus average
Clusia,divaricata,Clusiaceae,0.676,genus,genus average
Clusia,pratensis,Clusiaceae,0.676,genus,genus average
Clusia,rosea,Clusiaceae,0.605,species, global data base
Clusia,stenophylla,Clusiaceae,0.676,genus,genus average
Cnidoscolus,urens,Euphorbiaceae,0.427,genus,genus average
Coccoloba,acuminata,Polygonaceae,0.58,species, global data base
Coccoloba,ascendens,Polygonaceae,0.687,genus,genus average
Coccoloba,caracasana,Polygonaceae,0.43,species, global data base
Coccoloba,coronata,Polygonaceae,0.687,genus,genus average
Coccoloba,johnstonii,Polygonaceae,0.687,genus,genus average
Coccoloba,lasseri,Polygonaceae,0.687,genus,genus average
Coccoloba,manzinellensis,Polygonaceae,0.687,genus,genus average
Coccoloba,mollis,Polygonaceae,0.675,species,local data base
Coccoloba,padiformis,Polygonaceae,0.8,species,local data base
Coccoloba,tuerckheimii,Polygonaceae,0.687,genus,genus average
Coccoloba,uvifera,Polygonaceae,0.7,species, global data base
Coccoloba,obovata,Polygonaceae,0.687,genus,genus average
Cochlospermum,vitifolium,Bixaceae,0.218,species, global data base
Cocos,nucifera,Arecaceae,0.592,stand-level average,
Coffea,arabica,Rubiaceae,0.62,species, global data base
Cojoba,hoja_grande,Fabaceae,0.592,stand-level average,
Cojoba,rufescens,Fabaceae,0.592,stand-level average,
Colpothrinax,aphanopetala,Arecaceae,0.592,stand-level average,
Colubrina,glandulosa,Rhamnaceae,0.739,species,local data base
Colubrina,heteroneura,Rhamnaceae,0.97,species,local data base
Colubrina,spinosa,Rhamnaceae,0.495,species, global data base
Compsoneura,rigidifolia,Myristicaceae,0.592,stand-level average,
Compsoneura,mexicana,Myristicaceae,0.592,stand-level average,
Conceveiba,pleiostemona,Euphorbiaceae,0.266,species,local data base
Conchocarpus,nicaraguensis,Rutaceae,0.592,stand-level average,
Condaminea,corymbosa,Rubiaceae,0.592,stand-level average,
Conocarpus,erectus,Combretaceae,0.845,species, global data base
Conostegia,bracteata,Melastomataceae,0.592,stand-level average,
Conostegia,cinnamomea,Melastomataceae,0.592,stand-level average,
Conostegia,cuatrecasii,Melastomataceae,0.592,stand-level average,
Conostegia,rufescens,Melastomataceae,0.592,stand-level average,
Conostegia,speciosa,Melastomataceae,0.592,stand-level average,
Conostegia,xalapensis,Melastomataceae,0.592,stand-level average,
Conostegia,montana,Melastomataceae,0.592,stand-level average,
Copaifera,aromatica,Fabaceae,0.62,species,local data base
Cordia,alliodora,Boraginaceae,0.52,species,local data base
Cordia,bicolor,Boraginaceae,0.475,species,local data base
Cordia,collococca,Boraginaceae,0.42,species, global data base
Cordia,cymosa,Boraginaceae,0.538,genus,genus average
Cordia,dentata,Boraginaceae,0.5,species, global data base
Cordia,eriostigma,Boraginaceae,0.538,genus,genus average
Cordia,lasiocalyx,Boraginaceae,0.397,species,local data base
Cordia,lucidula,Boraginaceae,0.538,genus,genus average
Cordia,megalantha,Boraginaceae,0.39,species, global data base
Cordia,panamensis,Boraginaceae,0.33,species,local data base
Cordia,porcata,Boraginaceae,0.538,genus,genus average
Cordia,dwyeri,Boraginaceae,0.538,genus,genus average
Cordia,correae,Boraginaceae,0.538,genus,genus average
Cordiera,garapatica,Rubiaceae,0.592,stand-level average,
Cornutia,pyramidata,Lamiaceae,0.6,genus,genus average
Cosmibuena,macrocarpa,Rubiaceae,0.592,stand-level average,
Couepia,chocolate,Chrysobalanaceae,0.798,genus,genus average
Couratari,guianensis,Lecythidaceae,0.507,species,local data base
Coussarea,cerroazulensis,Rubiaceae,0.618,genus,genus average
Coussarea,curvigemmia,Rubiaceae,0.618,genus,genus average
Coussarea,latifolia,Rubiaceae,0.618,genus,genus average
Coussarea,loftonii,Rubiaceae,0.618,genus,genus average
Coutarea,hexandra,Rubiaceae,0.6,species,local data base
Crateva,tapia,Capparaceae,0.519,species,local data base
Cremastosperma,panamense,Annonaceae,0.592,stand-level average,
Crescentia,cujete,Bignoniaceae,0.634,species, global data base
Crossopetalum,parviflorum,Celastraceae,0.592,stand-level average,
Croton,billbergianus,Euphorbiaceae,0.51,genus,genus average
Croton,draco,Euphorbiaceae,0.51,genus,genus average
Croton,pachypodus,Euphorbiaceae,0.51,genus,genus average
Croton,schiedeanus,Euphorbiaceae,0.51,genus,genus average
Croton,smithianus,Euphorbiaceae,0.51,genus,genus average
Croton,matourensis,Euphorbiaceae,0.388,species, global data base
Crudia,acuminata,Fabaceae,0.777,genus,genus average
Cryosophila,warscewiczii,Arecaceae,0.4,species,local data base
Cryptocarya,panamensis,Lauraceae,0.561,genus,genus average
Cupania,cinerea,Sapindaceae,0.5,species,local data base
Cupania,guatemalensis,Sapindaceae,0.688,species,local data base
Cupania,latifolia,Sapindaceae,0.618,genus,genus average
Cupania,rufescens,Sapindaceae,0.618,genus,genus average
Cupania,scrobiculata,Sapindaceae,0.628,species,local data base
Cupania,seemannii,Sapindaceae,0.618,genus,genus average
Curatella,americana,Dilleniaceae,0.65,species, global data base
Cyathea,multiflora,Cyatheaceae,0.592,stand-level average,
Cyathea,petiolata,Cyatheaceae,0.592,stand-level average,
Cybianthus,schlimii,Primulaceae,0.593,genus,genus average
Cymbopetalum,lanugipetalum,Annonaceae,0.552,genus,genus average
Cymbopetalum,costaricense,Annonaceae,0.552,genus,genus average
Cynometra,bauhiniifolia,Fabaceae,0.812,genus,genus average
Cynophalla,flexuosa,Capparaceae,0.592,stand-level average,
Cynophalla,verrucosa,Capparaceae,0.592,stand-level average,
Cyrilla,racemiflora,Cyrillaceae,0.59,species, global data base
Dalbergia,retusa,Fabaceae,0.863,species,local data base
Damburneya,umbrosa,Lauraceae,0.592,stand-level average,
Damburneya,martinicensis,Lauraceae,0.592,stand-level average,
Daphnopsis,americana,Thymelaeaceae,0.52,genus,genus average
Daphnopsis,correae,Thymelaeaceae,0.52,genus,genus average
Delonix,regia,Fabaceae,0.579,species, global data base
Dendropanax,sessiliflorus,Araliaceae,0.42,genus,genus average
Dendropanax,arboreus,Araliaceae,0.42,species,local data base
Dendropanax,punctatus,Araliaceae,0.42,genus,genus average
Dendropanax,globosus,Araliaceae,0.42,genus,genus average
Desmopsis,maxonii,Annonaceae,0.764,genus,genus average
Desmopsis,panamensis,Annonaceae,0.764,species,local data base
Dialium,guianense,Fabaceae,0.896,species,local data base
Dichapetalum,axillare,Dichapetalaceae,0.761,genus,genus average
Dilodendron,costaricense,Sapindaceae,0.592,stand-level average,
Diospyros,artanthifolia,Ebenaceae,0.683,genus,genus average
Diphysa,americana,Fabaceae,1.08,genus,genus average
Diplotropis,purpurea,Fabaceae,0.762,species, global data base
Dipteryx,oleifera,Fabaceae,0.848,species,local data base
Discophora,guianensis,Stemonuraceae,0.56,species,local data base
Drypetes,standleyi,Putranjivaceae,0.675,species,local data base
Drypetes,coba,Putranjivaceae,0.695,genus,genus average
Drypetes,aff.amazonica,Putranjivaceae,0.695,genus,genus average
Duguetia,confusa,Annonaceae,0.729,genus,genus average
Duguetia,panamensis,Annonaceae,0.729,genus,genus average
Dussia,atropurpurea,Fabaceae,0.553,genus,genus average
Dussia,macroprophyllata,Fabaceae,0.563,species,local data base
Dussia,tessmannii,Fabaceae,0.553,genus,genus average
Dystovomita,paniculata,Clusiaceae,0.592,stand-level average,
Ecclinusa,lanceolata,Sapotaceae,0.58,species,local data base
Elaeagia,auriculata,Rubiaceae,0.592,stand-level average,
Elaeagia,nitidifolia,Rubiaceae,0.592,stand-level average,
Elaeis,oleifera,Arecaceae,0.592,stand-level average,
Endlicheria,browniana,Lauraceae,0.495,genus,genus average
Enterolobium,cyclocarpum,Fabaceae,0.391,species,local data base
Enterolobium,schomburgkii,Fabaceae,0.699,species,local data base
Erblichia,odorata,Passifloraceae,0.592,stand-level average,
Erisma,blancoa,Vochysiaceae,0.571,genus,genus average
Erythrina,costaricensis,Fabaceae,0.289,genus,genus average
Erythrina,fusca,Fabaceae,0.299,species, global data base
Erythrina,poeppigiana,Fabaceae,0.305,species, global data base
Erythrina,rubrinervia,Fabaceae,0.289,genus,genus average
Erythroxylum,citrifolium,Erythroxylaceae,0.71,species,local data base
Erythroxylum,panamense,Erythroxylaceae,0.79,genus,genus average
Erythroxylum,macrophyllum,Erythroxylaceae,0.71,species,local data base
Eschweilera,amplexifolia,Lecythidaceae,0.825,genus,genus average
Eschweilera,calyculata,Lecythidaceae,0.825,genus,genus average
Eschweilera,jacquelyniae,Lecythidaceae,0.825,genus,genus average
Eschweilera,pittieri,Lecythidaceae,0.86,species,local data base
Eschweilera,sessilis,Lecythidaceae,0.825,genus,genus average
Eschweilera,panamensis,Lecythidaceae,0.825,genus,genus average
Eschweilera,aff.compressa,Lecythidaceae,0.825,genus,genus average
Esenbeckia,panamensis,Rutaceae,1.077,genus,genus average
Eugenia,coloradoensis,Myrtaceae,0.721,genus,genus average
Eugenia,cricamolensis,Myrtaceae,0.721,genus,genus average
Eugenia,galalonensis,Myrtaceae,0.721,genus,genus average
Eugenia,nesiotica,Myrtaceae,0.721,genus,genus average
Eugenia,oerstediana,Myrtaceae,0.721,genus,genus average
Eugenia,venezuelensis,Myrtaceae,0.82,species,local data base
Eugenia,principium,Myrtaceae,0.721,genus,genus average
Eugenia,austin-smithii,Myrtaceae,0.721,genus,genus average
Eugenia,octopleura,Myrtaceae,0.721,genus,genus average
Eugenia,hiraeifolia,Myrtaceae,0.721,genus,genus average
Euphorbia,sinclairiana,Euphorbiaceae,0.457,genus,genus average
Euterpe,precatoria,Arecaceae,0.388,species,local data base
Exostema,mexicanum,Rubiaceae,0.995,genus,genus average
Fairchildia,panamensis,Fabaceae,0.592,stand-level average,
Faramea,eurycarpa,Rubiaceae,0.585,genus,genus average
Faramea,luteovirens,Rubiaceae,0.585,genus,genus average
Faramea,multiflora,Rubiaceae,0.585,genus,genus average
Faramea,occidentalis,Rubiaceae,0.585,species,local data base
Faramea,papillata,Rubiaceae,0.585,genus,genus average
Faramea,papirifolia,Rubiaceae,0.585,genus,genus average
Faramea,suerrensis,Rubiaceae,0.585,genus,genus average
Faramea,coba,Rubiaceae,0.585,genus,genus average
Faramea,parvibractea,Rubiaceae,0.585,genus,genus average
Faramea,calophylla,Rubiaceae,0.585,genus,genus average
Ferdinandusa,panamensis,Rubiaceae,0.725,genus,genus average
Ficus,citrifolia,Moraceae,0.4,species,local data base
Ficus,colubrinae,Moraceae,0.406,genus,genus average
Ficus,costaricana,Moraceae,0.406,genus,genus average
Ficus,insipida,Moraceae,0.377,species,local data base
Ficus,maxima,Moraceae,0.361,species,local data base
Ficus,nymphaeifolia,Moraceae,0.415,species,local data base
Ficus,obtusifolia,Moraceae,0.406,genus,genus average
Ficus,pertusa,Moraceae,0.42,species,local data base
Ficus,popenoei,Moraceae,0.406,genus,genus average
Ficus,tonduzii,Moraceae,0.406,genus,genus average
Ficus,yoponensis,Moraceae,0.406,genus,genus average
Ficus,apollinaris,Moraceae,0.406,genus,genus average
Ficus,brevibracteata,Moraceae,0.406,genus,genus average
Ficus,benjamina,Moraceae,0.459,species, global data base
Ficus,unidentified,Moraceae,0.406,genus,genus average
Ficus,trigonata,Moraceae,0.43,species, global data base
Ficus,matiziana,Moraceae,0.406,genus,genus average
Fissicalyx,fendleri,Fabaceae,0.592,stand-level average,
Flacourtia,jangomas,Salicaceae,0.923,species, global data base
Flemingia,strobilifera,Fabaceae,0.592,stand-level average,
Freziera,calophylla,Pentaphylacaceae,0.58,genus,genus average
Galipea,panamensis,Rutaceae,0.997,genus,genus average
Garcinia,madruno,Clusiaceae,0.727,species,local data base
Garcinia,magnifolia,Clusiaceae,0.742,genus,genus average
Garcinia,recondita,Clusiaceae,0.742,genus,genus average
Genipa,americana,Rubiaceae,0.634,species,local data base
Geonoma,congesta,Arecaceae,0.592,stand-level average,
Geonoma,cuneata,Arecaceae,0.592,stand-level average,
Geonoma,deversa,Arecaceae,0.592,stand-level average,
Geonoma,interrupta,Arecaceae,0.592,stand-level average,
Gliricidia,sepium,Fabaceae,0.618,species, global data base
Gloeospermum,blakeanum,Violaceae,0.592,stand-level average,
Gloeospermum,sphaerocarpum,Violaceae,0.592,stand-level average,
Gloeospermum,eneidense,Violaceae,0.592,stand-level average,
Gmelina,arborea,Lamiaceae,0.43,species,local data base
Godmania,aesculifolia,Bignoniaceae,0.52,species, global data base
Gonzalagunia,panamensis,Rubiaceae,0.592,stand-level average,
Gonzalagunia,rudis,Rubiaceae,0.592,stand-level average,
Gordonia,fruticosa,Theaceae,0.519,species,local data base
Gordonia,brenesii,Theaceae,0.589,genus,genus average
Gossypium,barbadense,Malvaceae,0.68,genus,genus average
Graffenrieda,galeottii,Melastomataceae,0.592,stand-level average,
Grias,cauliflora,Lecythidaceae,0.62,genus,genus average
